url,meta_refresh_redirect,script_entropy_avg,inline_script_ratio,suspicious_keyword_density,css_external_ratio,base_tag_mismatch,title_brand_mismatch,image_alt_anomaly_ratio
https://www.pelicanhousesc.com,0,4.752,0.75,0.0,0.0,0,1,0.175
https://www.geckodesigns.com,0,5.005,0.462,0.0008,0.143,0,1,0.0
http://www.sever1.webs.pm,0,4.875,0.455,0.00168,1.0,0,0,0.091
https://www.powerhousefilms.co.uk,0,4.746,0.711,0.0,0.333,0,1,0.037
https://www.totalhomekc.com,0,4.871,0.4,0.0008,1.0,0,1,0.231
https://www.ebikediagnostics.com/jp,0,4.172,1.0,0.0,0.0,0,0,0.0
https://www.bookwize.com,0,4.739,0.524,0.00304,0.222,0,0,0.92
https://dev-itausecurelogin-py-56.pantheonsite.io/,0,0,0,0.0,0.0,0,1,0.0
http://account-deletion-form-10033819.firebaseapp.com/,0,0,0,0.0,1.0,0,1,1.0
https://xxphase.office0.workers.dev/,0,4.422,0.8,0.0,0.0,0,1,0.0
http://www.pornno.com,0,0,0,0.0,0.0,0,0,0.0
https://email-update-service-105771.weeblysite.com/,0,0,0,0.0,0.0,0,1,0.0
https://www.unionclub.org,0,5.002,0.621,0.025,0.222,0,1,1.0
https://www.hankonealphoto.com,0,0,0.0,0.00163,0.0,0,1,0.308
https://www.cowboyartistsofamerica.com,0,4.88,0.415,0.0,1.0,0,1,1.0
https://www.hrdive.com,0,4.076,0.559,0.00216,0.0,0,1,0.055
https://www.raskmedia.com.au,0,4.887,0.3,0.00631,0.0,0,1,1.0
http://www.housecleaningacblondon.com,0,4.172,1.0,0.0,0.0,0,0,0.0
https://www.greenwoodnursery.com,0,4.516,0.61,0.00117,0.056,0,1,0.245
https://www.sharestion.com,0,0,0.0,0.0,0.0,0,1,0.0
https://business-page-appeal-2321.web.app/,0,0,0,0.0,1.0,0,1,1.0
https://www.2xzone.com,0,4.735,0.5,0.0,0.444,0,0,0.111
https://www.udopt.co.uk,0,4.969,0.294,0.01024,0.167,0,0,0.0
http://live-metamusak.github.io/,0,0,0,0.02326,0.0,0,0,1.0
https://www.rmhorse.com,0,4.966,0.188,0.00889,0.023,0,1,0.389
http://www.easyview.kr,0,0,0,0.0,1.0,0,1,0.0
https://www.hoeghautoliners.com,0,5.072,0.548,0.00181,0.0,0,1,0.679
https://www.ffi.no,0,4.787,0.333,0.0,0.333,0,0,0.581
https://www.tftofky.com,0,5.1,0.3,0.00137,0.167,0,1,0.214
https://ipfs.io/ipfs/qmwkaqbggk6hrucucqdrdrdsjndmnefwfk14txk2d1rhgm?filename=qmwkaqbggk6hrucucqdrdrdsjndmnefwfk14txk2d1rhgm,0,0,0,0.01639,0.0,0,1,0.0
https://www.aspirecig.com,0,4.976,0.385,0.0,0.0,0,1,0.009
https://www.cardchronicle.com,0,4.79,0.118,0.00103,0.0,0,1,0.03
https://www.rtpi.org.uk,0,4.866,0.5,0.00102,0.5,0,1,0.812
https://www.sypher.eu,0,4.234,0.4,0.0101,0.333,0,1,0.778
https://www.ultimatemets.com,0,4.631,0.875,0.0,0.0,0,1,0.892
https://www.toyota.co.id,0,3.935,0.167,0.01107,0.273,0,1,0.867
https://key23456-698e6.firebaseapp.com/,1,0,0,0.0,0.0,0,0,0.0
https://www.calneheritage.co.uk,0,5.347,0.692,0.0,1.0,0,1,0.0
https://www.goodbooksafrica.com,0,5.057,0.25,0.00356,0.0,0,1,0.0
https://www.spiritofhealthkc.com,0,4.879,0.594,0.0,1.0,0,1,0.227
https://www.meconopsis.org,0,4.726,0.5,0.00063,0.167,0,0,0.556
https://lj2qud.webwave.dev/,0,0,0,0.0,0.0,0,0,0.0
https://s3.amazonaws.com/appforest_uf/f1677629607163x696445706039154900/saved.html,0,0,0,0.0,0.0,0,0,0.0
https://www.taxtips.ca,0,4.624,0.556,0.0,0.0,0,0,0.0
https://www.daisydiskapp.com,0,4.621,0.667,0.00177,0.5,0,1,0.0
https://www.livedreamdiscover.com,0,4.737,0.423,0.00266,0.03,0,1,0.0
https://www.konstsiematic.com,0,4.928,0.458,0.0,0.091,0,1,0.417
https://www.mobisystems.com,0,4.928,0.742,0.00238,0.091,0,0,0.0
https://www.brandeis.edu,0,4.692,0.286,0.0,0.333,0,0,0.0
https://www.sccfd.org,0,4.773,0.308,0.00142,0.28,0,1,0.193
https://www.steamworksstudio.com,0,4.556,0.294,0.0,0.0,0,0,0.333
https://www.vdu.de,0,0,0.0,0.0,0.0,0,0,0.861
https://www.sandylydon.com,0,4.851,0.594,0.0,1.0,0,1,0.25
https://www.me2on.com,0,5.046,0.077,0.0,0.0,0,1,0.769
https://www.dolphin-ah.com,0,4.765,0.364,0.0,0.0,0,1,0.0
https://www.linksys.com,0,4.829,0.577,0.0,0.0,0,0,1.0
https://www.grosh.com,0,4.385,1.0,0.0,0.0,0,1,0.0
https://www.braceletstreet.com,0,5.013,0.727,0.0,1.0,0,0,0.045
https://www.kristynwongtam.ca,0,4.943,0.722,0.00094,1.0,0,1,0.706
http://www.md.blocktrail.com,0,0,0,0.0,0.0,0,1,0.0
https://www.brooklineconnection.com,0,0,0,0.0,0.0,0,1,0.35
https://www.red.org,0,4.975,0.529,0.0042,0.333,0,0,0.75
https://www.lilaloa.com,0,5.274,0.647,0.0,1.0,0,1,0.688
https://www.fuji.com.tw,0,4.926,0.5,0.0,0.0,0,1,0.706
https://www.mp3fiesta.com,0,5.562,1.0,0.0,0.0,0,1,0.0
http://www.oralsinbrusque.com.br,0,4.44,0.583,0.0,1.0,0,1,1.0
https://www.adept.net.au,0,5.191,0.75,0.0,0.0,0,0,0.769
https://www.kadaza.com,0,4.941,0.857,0.00167,0.0,0,0,0.463
https://www.experienceneworleans.com,0,4.746,0.348,0.0,0.667,0,1,0.75
https://www.vbsedit.com,0,4.813,1.0,0.0,0.0,0,0,0.0
https://www.luxe-provence.com,0,4.98,0.333,0.00074,0.3,0,1,0.031
https://www.beengo.me,0,4.848,0.286,0.0,0.0,0,0,0.0
https://www.waterdocs.ca,0,4.881,0.611,0.0,1.0,0,1,0.821
http://www.kidzcommunity.org,0,4.866,0.64,0.0,1.0,0,0,0.353
https://www.mlt.org.im,0,4.702,0.188,0.0,0.214,0,1,0.333
http://www.panachescoffee.com,0,0,0,0.0,0.0,0,0,0.0
https://www.tasking.com,0,4.88,0.477,0.0,0.059,0,0,0.667
https://www.kathyadamsclark.com,0,4.655,0.4,0.0,0.0,0,1,0.375
https://www.vipsdental.com,0,4.505,0.429,0.0,0.4,0,1,1.0
http://www.mikebonales.com,0,4.103,1.0,0.0,1.0,0,0,0.0
https://www.gk-design.co.jp,0,4.983,0.4,0.0,0.0,0,1,0.906
https://www.kevineubanks.com,0,4.823,0.556,0.03462,1.0,0,1,0.05
http://www.venn.me,0,4.95,0.615,0.0,1.0,0,0,0.714
https://www.talladegacountyal.org,0,0,0,0.0,0.0,0,1,0.0
https://www.bikesociety.com.au,0,4.932,0.739,0.00298,0.0,0,1,0.152
https://www.operacity.jp,0,4.69,0.571,0.0,0.0,0,1,0.5
https://www.kangu.com.br,1,4.972,1.0,0.0,1.0,0,0,0.0
https://www.yamaha-motor.com.au,0,0,0.0,0.0,0.0,0,0,0.0
https://n7rys-ziaaa-aaaad-qexiq-cai.raw.ic0.app/,0,4.423,1.0,0.0,0.0,0,1,0.0
https://www.hello-chicky.com,0,4.898,0.619,0.00178,0.083,0,1,0.714
